race,driver,pit_stop,lap_time
841,Alguersuari,26898,133879
841,Alguersuari,24463,117713
841,Alguersuari,26348,118520
842,Alguersuari,23584,116329
842,Alguersuari,22888,111898
843,Alguersuari,22419,111745
844,Alguersuari,22713,99363
844,Alguersuari,21826,94648
844,Alguersuari,21986,93371
844,Alguersuari,21931,96953
845,Alguersuari,20741,97136
845,Alguersuari,20872,95541
845,Alguersuari,21019,97303
845,Alguersuari,23143,94318
846,Alguersuari,25907,100391
846,Alguersuari,27550,101248
847,Alguersuari,26045,123011
847,Alguersuari,24863,112317
847,Alguersuari,23338,104460
848,Alguersuari,21391,122776
848,Alguersuari,21103,122189
849,Alguersuari,24719,108377
849,Alguersuari,24095,96197
850,Alguersuari,21062,102739
850,Alguersuari,21689,100794
851,Alguersuari,23734,102668
851,Alguersuari,22552,92709
851,Alguersuari,21345,94679
853,Alguersuari,21988,94230
853,Alguersuari,22279,92363
854,Alguersuari,30948,129761
854,Alguersuari,24299,123611
854,Alguersuari,31836,128484
855,Alguersuari,21792,105921
855,Alguersuari,22584,103264
856,Alguersuari,22301,139859
856,Alguersuari,22325,107519
857,Alguersuari,22856,94750
857,Alguersuari,23084,93063
858,Alguersuari,43574,110525
858,Alguersuari,21363,108893
859,Alguersuari,22773,84220
859,Alguersuari,21855,83774
841,Schumacher,25021,161428
841,Schumacher,23988,117213
842,Schumacher,22576,114370
842,Schumacher,22261,110291
842,Schumacher,22227,112297
843,Schumacher,20522,109461
843,Schumacher,21964,108333
843,Schumacher,21400,106676
844,Schumacher,30182,97601
844,Schumacher,20907,96246
844,Schumacher,20379,94210
844,Schumacher,20597,93110
845,Schumacher,20084,94990
845,Schumacher,20487,93631
845,Schumacher,20451,92641
846,Schumacher,35084,111382
847,Schumacher,24472,110361
847,Schumacher,24196,123578
847,Schumacher,22832,133451
847,Schumacher,22869,100827
848,Schumacher,21201,122847
848,Schumacher,30665,147804
848,Schumacher,21168,122008
849,Schumacher,30242,120764
849,Schumacher,31751,99067
849,Schumacher,24651,95755
850,Schumacher,20768,102283
850,Schumacher,20299,100786
850,Schumacher,19930,99016
851,Schumacher,21948,102324
851,Schumacher,20071,92076
852,Schumacher,20153,120908
852,Schumacher,20226,134369
852,Schumacher,21319,118083
853,Schumacher,22709,94101
853,Schumacher,22014,91041
854,Schumacher,29610,126645
854,Schumacher,29473,124926
855,Schumacher,20667,104559
855,Schumacher,22570,114925
855,Schumacher,20879,100798
856,Schumacher,20238,109468
