driverId,constructorId,grid,position
1,1,1,1
2,2,5,2
3,3,7,3
4,4,11,4
5,1,3,5
6,3,13,6
7,5,17,7
8,6,15,8
9,2,2,\N
10,7,18,\N
11,8,19,\N
12,4,20,\N
13,6,4,\N
14,9,8,\N
15,7,6,\N
16,10,22,\N
17,9,14,\N
18,11,12,\N
19,8,21,\N
20,5,9,\N
21,10,16,\N
22,11,10,\N
8,6,2,1
9,2,4,2
5,1,8,3
15,7,3,4
1,1,9,5
2,2,5,6
17,9,6,7
4,4,7,8
14,9,12,9
18,11,11,10
12,4,13,11
21,10,17,12
22,11,14,13
3,3,16,14
19,8,21,15
11,8,19,16
6,3,22,17
20,5,15,\N
13,6,1,\N
16,10,20,\N
10,7,10,\N
7,5,18,\N
13,6,2,1
8,6,4,2
9,2,1,3
2,2,6,4
5,1,5,5
15,7,7,6
17,9,11,7
3,3,8,8
10,7,13,9
4,4,10,10
22,11,12,11
21,10,18,12
1,1,3,13
6,3,16,14
7,5,15,15
19,8,21,16
11,8,22,17
14,9,17,18
16,10,20,19
12,4,14,\N
18,11,9,\N
20,5,19,\N
8,6,1,1
13,6,3,2
1,1,5,3
9,2,4,4
17,9,7,5
18,11,13,6
6,3,12,7
15,7,8,8
2,2,9,9
21,10,19,10
10,7,14,11
14,9,17,12
11,8,22,13
3,3,15,\N
4,4,2,\N
22,11,11,\N
5,1,6,\N
19,8,21,\N
7,5,16,\N
12,4,10,\N
16,10,20,\N
20,5,18,\N
13,6,1,1
1,1,3,2
8,6,4,3
9,2,5,4
2,2,9,5
4,4,7,6
17,9,6,7
3,3,11,8
14,9,10,9
15,7,8,10
18,11,13,11
5,1,2,12
10,7,15,13
22,11,12,14
12,4,17,15
16,10,19,16
20,5,14,17
7,5,18,\N
6,3,16,\N
21,10,20,\N
1,1,3,1
9,2,5,2
13,6,1,3
17,9,9,4
20,5,19,5
22,11,14,6
6,3,13,7
5,1,4,8
8,6,2,9
4,4,7,10
18,11,11,11
10,7,10,12
15,7,8,13
2,2,12,14
16,10,18,\N
3,3,6,\N
12,4,17,\N
21,10,20,\N
14,9,15,\N
7,5,16,\N
9,2,2,1
2,2,8,2
14,9,13,3
10,7,11,4
13,6,6,5
15,7,14,6
22,11,9,7
20,5,19,8
5,1,7,9
3,3,5,10
18,11,20,11
17,9,10,12
7,5,18,13
21,10,17,\N
6,3,12,\N
4,4,4,\N
12,4,15,\N
8,6,3,\N
1,1,1,\N
16,10,16,\N
13,6,2,1
8,6,1,2
15,7,4,3
5,1,10,4
9,2,5,5
17,9,6,6
12,4,9,7
4,4,3,8
14,9,7,9
1,1,13,10
10,7,8,11
20,5,12,12
2,2,11,13
22,11,20,14
6,3,15,15
3,3,19,16
7,5,14,17
21,10,17,18
16,10,18,19
18,11,16,\N
1,1,4,1
2,2,5,2
22,11,16,3
8,6,3,4
5,1,1,5
4,4,6,6
15,7,14,7
6,3,15,8
3,3,20,9
17,9,2,10
7,5,13,11
10,7,12,12
13,6,9,13
9,2,10,\N
18,11,17,\N
12,4,7,\N
21,10,19,\N
16,10,18,\N
20,5,8,\N
14,9,11,\N
1,1,1,1
12,4,17,2
13,6,2,3
2,2,12,4
5,1,3,5
8,6,6,6
9,2,7,7
20,5,9,8
15,7,4,9
3,3,13,10
4,4,5,11
7,5,15,12
14,9,10,13
6,3,16,14
16,10,19,15
21,10,20,16
18,11,14,17
22,11,18,\N
17,9,8,\N
10,7,11,\N
5,1,2,1
10,7,5,2
8,6,6,3
4,4,7,4
1,1,1,5
12,4,10,6
15,7,9,7
9,2,4,8
17,9,8,9
2,2,15,10
14,9,13,11
18,11,12,12
6,3,16,13
3,3,14,14
21,10,18,15
22,11,17,16
13,6,3,17
7,5,19,18
16,10,20,\N
20,5,11,\N
13,6,1,1
1,1,2,2
9,2,3,3
5,1,5,4
15,7,7,5
20,5,6,6
10,7,13,7
3,3,9,8
2,2,8,9
7,5,10,10
12,4,15,11
17,9,14,12
18,11,16,13
21,10,18,14
6,3,11,15
22,11,19,16
14,9,17,17
8,6,4,\N
16,10,20,\N
4,4,12,\N
13,6,2,1
