driver,podium,podium_log
Albon,2,1.0
Alboreto,23,4.523561956057013
Alesi,32,5.0
Allison,1,0.0
Alonso,98,6.614709844115208
Amick,1,0.0
Amon,11,3.4594316186372973
Anderson,1,0.0
Andretti,20,4.321928094887363
Arnoux,22,4.459431618637297
Arundell,2,1.0
Ascari,17,4.087462841250339
Attwood,1,0.0
Ayulo,1,0.0
Baghetti,1,0.0
Bandini,8,3.0
Barrichello,68,6.087462841250339
Behra,9,3.169925001442312
Beltoise,8,3.0
Berger,48,5.584962500721156
Bernard,1,0.0
Bettenhausen,1,0.0
Bianchi,1,0.0
Blundell,3,1.584962500721156
Bonetto,2,1.0
Bonnier,1,0.0
Bottas,67,6.066089190457772
Boutsen,15,3.9068905956085187
Boyd,1,0.0
Brabham,31,4.954196310386875
Brambilla,1,0.0
Brooks,10,3.321928094887362
Brundle,9,3.169925001442312
Bryan,3,1.584962500721156
Button,50,5.643856189774724
Capelli,3,1.584962500721156
Carter,1,0.0
Castellotti,3,1.584962500721156
Cevert,13,3.700439718141092
Cheever,9,3.169925001442312
Chiron,1,0.0
Clark,32,5.0
Collins,9,3.169925001442312
Coulthard,62,5.954196310386875
Courage,2,1.0
Cross,1,0.0
Davies,1,0.0
Depailler,19,4.247927513443585
Donohue,1,0.0
Fabi,2,1.0
Fagioli,6,2.584962500721156
Fangio,35,5.129283016944966
Farina,20,4.321928094887363
Fischer,2,1.0
Fisichella,19,4.247927513443585
Fittipaldi,35,5.129283016944966
Flaherty,1,0.0
Flockhart,1,0.0
Follmer,1,0.0
Freeland,1,0.0
Frentzen,18,4.169925001442312
Frère,1,0.0
Gasly,3,1.584962500721156
Gendebien,2,1.0
Gethin,1,0.0
Giacomelli,1,0.0
Ginther,14,3.807354922057604
Glock,3,1.584962500721156
Goldsmith,1,0.0
González,15,3.9068905956085187
Gregory,3,1.584962500721156
Grosjean,10,3.321928094887362
Gugelmin,1,0.0
Gurney,19,4.247927513443585
Hailwood,2,1.0
Hamilton,191,7.577428828035749
Hanks,4,2.0
Hawthorn,18,4.169925001442312
Heidfeld,13,3.700439718141092
Herbert,7,2.807354922057604
Herrmann,1,0.0
Hill,94,6.554588851677638
Holland,1,0.0
Hulme,33,5.044394119358453
Hunt,23,4.523561956057013
Häkkinen,51,5.672425341971495
Ickx,25,4.643856189774724
Ireland,4,2.0
Irvine,26,4.700439718141092
Jabouille,2,1.0
Jarier,3,1.584962500721156
Johansson,12,3.584962500721156
Jones,24,4.584962500721156
Järvilehto,1,0.0
Kling,2,1.0
Kobayashi,1,0.0
Kovalainen,4,2.0
Kubica,12,3.584962500721156
Kvyat,3,1.584962500721156
Laffite,32,5.0
Larini,1,0.0
Lauda,54,5.754887502163468
Leclerc,24,4.584962500721156
Lewis-Evans,2,1.0
Love,1,0.0
Maggs,3,1.584962500721156
Maglioli,2,1.0
Magnussen,1,0.0
Mairesse,1,0.0
Maldonado,1,0.0
Mansell,59,5.882643049361842
Manzon,2,1.0
Marimón,2,1.0
Mass,8,3.0
Massa,41,5.357552004618084
McGrath,2,1.0
McLaren,27,4.754887502163468
Menditeguy,1,0.0
Modena,2,1.0
Monteiro,1,0.0
Morbidelli,1,0.0
Moreno,1,0.0
Moss,24,4.584962500721156
Musso,7,2.807354922057604
Nannini,9,3.169925001442312
Nazaruk,1,0.0
Nilsson,4,2.0
Norris,6,2.584962500721156
Ocon,2,1.0
Oliver,2,1.0
Pablo Montoya,30,4.906890595608519
Pace,6,2.584962500721156
Panis,5,2.321928094887362
Parkes,2,1.0
Parnell,1,0.0
Parsons,1,0.0
Patrese,37,5.20945336562895
Perdisa,2,1.0
Pescarolo,1,0.0
Peterson,26,4.700439718141092
Petrov,1,0.0
Piquet,60,5.906890595608519
Piquet Jr.,1,0.0
Pironi,13,3.700439718141092
Prost,106,6.727920454563199
Pryce,2,1.0
Pérez,26,4.700439718141092
Rathmann,4,2.0
Redman,1,0.0
Regazzoni,28,4.807354922057604
Reutemann,45,5.491853096329675
Revson,8,3.0
Ricciardo,32,5.0
Rindt,13,3.700439718141092
Rodríguez,7,2.807354922057604
Rosberg,74,6.20945336562895
Rose,1,0.0
Rosier,2,1.0
Russell,9,3.169925001442312
Russo,1,0.0
Ruttman,1,0.0
Räikkönen,103,6.6865005271832185
Sainz,15,3.9068905956085187
Salo,2,1.0
Salvadori,2,1.0
Sato,1,0.0
Scarfiotti,1,0.0
Scheckter,33,5.044394119358453
Schell,2,1.0
Schenken,1,0.0
Schumacher,182,7.507794640198696
Senna,80,6.321928094887363
Serafini,1,0.0
Servoz-Gavin,1,0.0
Siffert,6,2.584962500721156
Spence,1,0.0
Stewart,43,5.426264754702098
Stommelen,1,0.0
Streiff,1,0.0
Stroll,3,1.584962500721156
Stuck,2,1.0
Surtees,24,4.584962500721156
Suzuki,1,0.0
Sweikert,1,0.0
Tambay,11,3.4594316186372973
Taruffi,5,2.321928094887362
Taylor,1,0.0
Thomson,1,0.0
Trintignant,10,3.321928094887362
Trulli,11,3.4594316186372973
Verstappen,79,6.303780748177103
Vettel,122,6.930737337562887
Villeneuve,36,5.169925001442312
Villoresi,8,3.0
Vukovich,2,1.0
Wallard,1,0.0
Ward,2,1.0
Warwick,4,2.0
Watson,20,4.321928094887363
Webber,42,5.392317422778761
Whitehead,1,0.0
Wisell,1,0.0
Wurz,3,1.584962500721156
de Angelis,9,3.169925001442312
de Cesaris,5,2.321928094887362
de Portago,1,0.0
de la Rosa,1,0.0
von Trips,6,2.584962500721156
