year,Hamilton,Vettel,Alonso,Verstappen,Räikkönen
2000,0.0,0.0,0.0,5.0,0.0
2001,0.0,0.0,0.0,1.0,9.0
2002,0.0,0.0,0.0,0.0,24.0
2003,0.0,0.0,55.0,0.0,91.0
2004,0.0,0.0,59.0,0.0,45.0
2005,0.0,0.0,133.0,0.0,112.0
2006,0.0,0.0,134.0,0.0,65.0
2007,109.0,6.0,109.0,0.0,110.0
2008,98.0,35.0,61.0,0.0,75.0
2009,49.0,84.0,26.0,0.0,48.0
2010,240.0,256.0,252.0,0.0,0.0
2011,227.0,392.0,257.0,0.0,0.0
2012,190.0,281.0,278.0,0.0,207.0
2013,189.0,397.0,242.0,0.0,183.0
2014,384.0,167.0,161.0,0.0,55.0
2015,381.0,278.0,11.0,49.0,150.0
2016,380.0,212.0,54.0,204.0,186.0
2017,363.0,317.0,17.0,168.0,205.0
2018,408.0,320.0,50.0,249.0,251.0
2019,413.0,240.0,0.0,278.0,43.0
2020,347.0,33.0,0.0,214.0,4.0
2021,385.5,43.0,81.0,388.5,10.0
2022,233.0,37.0,81.0,433.0,0.0
2023,0.0,0.0,0.0,0.0,0.0
