raceId,driverId,position,q1
18,1,1,1:26.572
18,9,2,1:26.103
18,5,3,1:25.664
18,13,4,1:25.994
18,2,5,1:25.960
18,15,6,1:26.427
18,3,7,1:26.295
18,14,8,1:26.381
18,10,9,1:26.919
18,20,10,1:26.702
18,22,11,1:26.369
18,4,12,1:26.907
18,18,13,1:26.712
18,6,14,1:26.891
18,17,15,1:26.914
18,8,16,1:26.140
18,21,17,1:27.207
18,7,18,1:27.446
18,16,19,1:27.859
18,11,20,1:28.208
18,12,21,1:28.330
18,19,22,1:29.059
19,13,1,1:35.347
19,8,2,1:35.645
19,5,3,1:35.227
19,1,4,1:35.392
19,15,5,1:35.205
19,9,6,1:35.794
19,2,7,1:35.729
19,17,8,1:35.440
19,4,9,1:35.983
19,10,10,1:35.891
19,18,11,1:35.847
19,14,12,1:36.058
19,12,13,1:36.074
19,22,14,1:36.198
19,20,15,1:36.111
19,3,16,1:35.843
19,21,17,1:36.240
19,6,18,1:36.388
19,7,19,1:36.677
19,11,20,1:37.087
19,16,21,1:37.101
19,19,22,1:37.481
20,9,1,1:32.893
20,13,2,1:31.937
20,1,3,1:32.750
20,8,4,1:32.652
20,5,5,1:33.057
20,2,6,1:33.137
20,15,7,1:32.493
20,3,8,1:32.903
20,18,9,1:32.793
20,4,10,1:32.947
20,17,11,1:33.194
20,22,12,1:32.944
20,10,13,1:32.800
20,12,14,1:32.975
20,7,15,1:33.415
20,6,16,1:33.386
20,14,17,1:33.433
20,21,18,1:33.501
20,20,19,1:33.562
20,16,20,1:33.845
20,19,21,1:34.140
20,11,22,1:35.725
21,8,1,1:20.701
21,4,2,1:21.347
21,13,3,1:21.528
21,9,4,1:21.423
21,1,5,1:21.366
21,5,6,1:21.430
21,17,7,1:21.494
21,15,8,1:21.158
21,2,9,1:21.466
21,12,10,1:21.409
21,22,11,1:21.548
21,6,12,1:21.690
21,18,13,1:21.757
21,10,14,1:21.427
21,3,15,1:21.472
21,7,16,1:21.540
21,14,17,1:21.810
21,20,18,1:22.108
21,21,19,1:22.516
21,16,20,1:23.224
21,19,21,1:23.318
21,11,22,1:23.496
22,13,1,1:25.994
22,5,2,1:26.736
22,1,3,1:26.192
22,8,4,1:26.457
22,9,5,1:26.761
22,17,6,1:26.773
22,4,7,1:26.836
22,15,8,1:26.695
22,2,9,1:27.107
22,14,10,1:26.939
22,3,11,1:27.367
22,22,12,1:27.355
22,18,13,1:27.428
22,20,14,1:27.442
22,10,15,1:26.614
22,6,16,1:27.547
22,12,17,1:27.568
22,7,18,1:27.621
22,21,19,1:27.807
22,16,20,1:28.325
23,13,1,1:15.190
23,8,2,1:15.717
23,1,3,1:15.582
23,5,4,1:15.295
23,9,5,1:15.977
23,3,6,1:15.935
23,4,7,1:16.646
23,15,8,1:16.306
23,17,9,1:16.074
23,14,10,1:16.086
23,10,11,1:16.285
23,18,12,1:16.259
23,2,13,1:16.650
23,6,14,1:16.756
23,22,15,1:16.208
23,7,16,1:16.806
23,12,17,1:16.933
23,20,18,1:16.955
23,16,19,1:17.225
23,21,20,1:17.823
24,1,1,1:16.909
24,9,2,1:17.471
24,8,3,1:17.301
24,4,4,1:17.415
24,3,5,1:17.991
24,13,6,1:17.231
24,5,7,1:17.287
24,2,8,1:18.082
24,22,9,1:18.256
24,17,10,1:17.582
24,10,11,1:18.321
24,6,12,1:17.638
24,14,13,1:18.168
24,15,14,1:18.039
24,12,15,1:18.505
24,7,16,1:18.916
24,16,17,1:19.108
24,21,18,1:19.165
24,18,19,1:23.565
24,20,20,\N
25,8,1,1:15.133
25,13,2,1:15.024
25,1,3,1:15.634
25,4,4,1:15.754
25,15,5,1:15.521
25,5,6,1:15.965
25,9,7,1:15.687
25,17,8,1:16.020
25,14,9,1:15.802
25,10,10,1:15.727
25,12,11,1:15.848
25,2,12,1:16.006
25,20,13,1:15.918
25,7,14,1:16.072
25,3,15,1:16.085
25,6,16,1:16.243
25,18,17,1:16.306
25,22,18,1:16.330
25,21,19,1:16.971
25,16,20,1:17.053
26,5,1,1:19.957
26,17,2,1:20.982
26,8,3,1:20.370
26,1,4,1:20.288
26,2,5,1:21.022
26,4,6,1:20.998
26,12,7,1:20.818
26,20,8,1:20.318
26,13,9,1:20.676
26,9,10,1:20.444
26,14,11,1:21.224
26,10,12,1:20.893
26,7,13,1:20.584
26,15,14,1:21.145
26,6,15,1:21.407
26,22,16,1:21.512
26,18,17,1:21.631
26,3,18,1:21.668
26,16,19,1:21.786
26,21,20,1:21.885
27,1,1,1:15.218
27,13,2,1:14.921
27,5,3,1:15.476
27,15,4,1:15.560
27,4,5,1:15.917
27,8,6,1:15.201
27,9,7,1:15.985
27,17,8,1:15.900
27,20,9,1:15.532
27,14,10,1:15.975
27,10,11,1:15.560
27,2,12,1:15.596
27,3,13,1:15.863
27,18,14,1:15.993
27,7,15,1:15.927
27,6,16,1:16.083
27,12,17,1:16.189
27,22,18,1:16.246
27,16,19,1:16.657
27,21,20,1:16.963
28,1,1,1:19.376
28,5,2,1:19.945
28,13,3,1:19.578
28,9,4,1:20.053
28,10,5,1:19.980
28,8,6,1:20.006
28,4,7,1:20.229
28,17,8,1:20.073
28,15,9,1:19.942
28,12,10,1:20.583
28,20,11,1:20.157
28,18,12,1:20.888
28,14,13,1:20.505
28,7,14,1:20.640
28,3,15,1:20.748
28,2,16,1:21.045
28,6,17,1:21.085
28,22,18,1:21.332
28,21,19,1:21.670
28,16,20,1:22.113
29,13,1,1:38.176
29,1,2,1:38.464
29,9,3,1:38.347
29,8,4,1:38.703
29,5,5,1:38.656
29,20,6,1:38.141
29,15,7,1:37.948
29,2,8,1:38.738
29,3,9,1:38.595
29,7,10,1:38.622
29,6,11,1:38.667
29,4,12,1:38.268
29,10,13,1:38.532
29,17,14,1:38.559
29,12,15,1:38.787
29,18,16,1:38.880
29,14,17,1:39.235
29,21,18,1:39.268
29,22,19,1:39.811
29,16,20,1:39.943
30,1,1,1:46.887
30,13,2,1:46.873
30,5,3,1:46.812
30,8,4,1:46.960
30,2,5,1:47.419
30,4,6,1:47.154
30,17,7,1:47.270
30,9,8,1:47.093
30,7,9,1:46.777
30,20,10,1:47.152
30,15,11,1:47.400
30,12,12,1:47.052
30,10,13,1:47.359
30,14,14,1:47.132
30,3,15,1:47.503
30,22,16,1:48.153
30,18,17,1:48.211
30,16,18,1:48.226
30,6,19,1:48.268
30,21,20,1:48.447
31,20,1,1:35.464
31,5,2,1:35.214
31,17,3,1:36.001
31,7,4,1:35.543
31,3,5,1:35.485
31,13,6,1:35.536
31,15,7,1:35.906
31,4,8,1:36.297
31,10,9,1:35.737
31,2,10,1:35.709
31,9,11,1:35.553
31,21,12,1:36.280
31,14,13,1:36.485
31,8,14,1:35.965
31,1,15,1:35.394
31,22,16,1:36.510
31,12,17,1:36.630
31,6,18,1:36.653
31,18,19,1:37.006
31,16,20,1:37.417
32,13,1,1:44.519
32,1,2,1:44.501
32,8,3,1:44.282
32,9,4,1:44.740
32,5,5,1:44.311
32,2,6,1:45.548
32,20,7,1:45.042
32,10,8,1:45.184
32,3,9,1:45.103
32,6,10,1:45.127
32,15,11,1:45.642
32,18,12,1:45.660
32,17,13,1:45.493
32,14,14,1:46.028
32,4,15,1:44.971
32,12,16,1:46.037
32,7,17,1:46.389
32,22,18,1:46.583
32,16,19,1:47.940
32,21,20,\N
33,1,1,1:18.071
33,8,2,1:18.160
33,5,3,1:18.220
33,4,4,1:18.290
33,13,5,1:18.110
33,9,6,1:18.684
33,15,7,1:18.501
33,10,8,1:17.945
33,20,9,1:18.559
33,7,10,1:18.593
33,14,11,1:18.303
33,12,12,1:18.300
33,17,13,1:18.372
33,6,14,1:18.640
33,3,15,1:18.740
33,2,16,1:18.835
33,22,17,1:18.882
33,18,18,1:19.100
33,16,19,1:19.163
33,21,20,1:19.910
34,1,1,1:35.566
34,8,2,1:35.983
34,13,3,1:35.971
34,4,4,1:35.769
34,5,5,1:35.623
34,17,6,1:36.238
34,2,7,1:36.224
34,20,8,1:35.752
34,15,9,1:36.104
34,7,10,1:36.239
34,12,11,1:36.029
34,9,12,1:36.503
34,10,13,1:36.210
34,22,14,1:36.640
34,3,15,1:36.434
34,14,16,1:36.731
34,6,17,1:36.863
34,18,18,1:37.053
34,16,19,1:37.730
34,21,20,1:37.739
35,13,1,1:11.830
35,15,2,1:12.226
35,8,3,1:12.083
35,1,4,1:12.213
35,5,5,1:12.366
35,4,6,1:12.214
35,20,7,1:12.390
35,2,8,1:12.371
35,7,9,1:12.498
35,10,10,1:12.223
35,12,11,1:12.348
35,17,12,1:12.409
35,9,13,1:12.381
35,14,14,1:12.690
35,22,15,1:12.548
35,6,16,1:12.800
35,18,17,1:12.810
35,3,18,1:13.002
35,21,19,1:13.426
35,16,20,1:13.508
36,8,1,1:26.644
36,4,2,1:26.697
36,2,3,1:26.895
36,1,4,1:26.674
36,9,5,1:26.696
36,21,6,1:27.270
36,17,7,1:26.978
36,15,8,1:27.014
36,23,9,1:27.328
36,11,10,1:27.365
36,19,11,1:26.986
36,3,12,1:27.596
36,5,13,1:27.529
36,18,14,1:27.540
36,25,15,1:27.479
36,13,16,1:26.712
36,22,17,1:27.679
36,26,18,1:28.305
36,14,19,1:28.579
36,24,20,1:29.267
36,16,21,1:29.339
36,27,22,1:31.932
37,13,1,1:35.340
37,4,2,1:34.942
37,8,3,1:35.138
37,1,4,1:35.028
37,2,5,1:35.617
37,3,6,1:35.755
37,9,7,1:35.294
37,15,8,1:35.666
37,23,9,1:35.736
37,17,10,1:35.727
37,5,11,1:36.092
37,21,12,1:35.879
37,14,13,1:35.730
37,11,14,1:36.430
37,18,15,1:35.913
37,24,16,1:36.140
37,26,17,1:36.578
37,19,18,1:36.816
37,22,19,1:36.827
37,25,20,1:37.326
37,27,21,1:38.279
37,16,22,1:38.415
38,13,1,1:32.443
38,1,2,1:32.580
38,8,3,1:33.161
38,4,4,1:33.049
38,2,5,1:33.164
38,9,6,1:33.348
38,21,7,1:33.556
38,17,8,1:33.496
38,15,9,1:33.218
38,3,10,1:33.349
38,25,11,1:33.759
38,5,12,1:33.467
38,19,13,1:33.299
38,23,14,1:33.923
38,22,15,1:33.776
38,18,16,1:33.967
38,11,17,1:33.984
38,24,18,1:34.024
38,26,19,1:34.333
38,16,20,1:35.280
38,14,21,1:35.341
38,27,22,1:35.533
39,13,1,1:21.375
39,4,2,1:21.609
39,8,3,1:21.802
39,1,4,1:21.120
39,9,5,1:21.941
39,15,6,1:22.501
39,2,7,1:21.625
39,5,8,1:21.790
39,14,9,1:22.491
39,21,10,1:22.064
39,3,11,1:21.943
39,22,12,1:22.502
39,11,13,1:22.090
39,18,14,1:22.503
39,19,15,1:22.295
39,24,16,1:22.508
39,23,17,1:22.666
39,25,18,1:22.769
39,17,19,1:23.398
39,16,20,1:23.811
39,27,21,1:23.990
39,26,22,\N
40,4,1,1:16.059
40,1,2,1:15.685
40,13,3,1:16.786
40,21,4,1:17.596
40,3,5,1:16.870
40,17,6,1:17.816
40,2,7,1:17.385
40,9,8,1:17.584
40,22,9,1:17.244
40,18,10,1:17.297
40,25,11,1:17.874
40,24,12,1:16.720
40,14,13,1:17.204
40,15,14,1:17.686
40,5,15,1:17.836
40,8,16,1:16.251
40,19,17,1:18.250
40,26,18,1:18.390
40,16,19,1:18.418
40,23,20,1:18.539
40,11,21,1:18.554
40,27,22,\N
41,1,1,1:16.576
41,4,2,1:16.562
41,2,3,1:17.006
41,8,4,1:16.468
41,13,5,1:16.756
41,17,6,1:17.315
41,3,7,1:17.016
41,9,8,1:17.267
41,21,9,1:16.805
41,15,10,1:17.324
41,11,11,1:17.490
41,24,12,1:17.541
41,22,13,1:17.011
41,14,14,1:17.436
41,18,15,1:17.522
41,26,16,1:17.433
41,19,17,1:17.542
41,23,18,1:17.634
41,25,19,1:18.089
41,16,20,1:18.536
41,27,21,1:19.196
41,5,22,1:17.806
42,1,1,1:12.563
42,4,2,1:12.416
42,13,3,1:12.731
42,8,4,1:12.732
42,2,5,1:12.543
42,5,6,1:12.998
42,20,7,1:12.711
42,15,8,1:13.186
42,17,9,1:13.425
42,21,10,1:13.168
42,14,11,1:13.424
42,23,12,1:12.851
42,18,13,1:13.306
42,3,14,1:13.128
42,22,15,1:13.203
42,19,16,1:13.164
42,25,17,1:13.441
42,11,18,1:13.477
42,24,19,1:13.484
42,26,20,1:13.712
42,16,21,1:14.122
42,27,22,1:14.597
43,13,1,1:15.303
43,1,2,1:14.805
43,8,3,1:14.872
43,9,4,1:15.778
43,21,5,1:16.047
43,5,6,1:15.524
43,2,7,1:15.783
43,15,8,1:16.118
43,3,9,1:16.092
43,4,10,1:15.322
43,23,11,1:15.760
43,18,12,1:16.113
43,22,13,1:16.140
43,17,14,1:15.746
43,26,15,1:15.980
