raceId,driverId,constructorId,position,points
18,1,1,1,10
18,2,2,2,8
18,3,3,3,6
18,4,4,4,5
18,5,1,5,4
18,6,3,6,3
18,7,5,7,2
18,8,6,8,1
18,9,2,\N,0
18,10,7,\N,0
18,11,8,\N,0
18,12,4,\N,0
18,13,6,\N,0
18,14,9,\N,0
18,15,7,\N,0
18,16,10,\N,0
18,17,9,\N,0
18,18,11,\N,0
18,19,8,\N,0
18,20,5,\N,0
18,21,10,\N,0
18,22,11,\N,0
19,8,6,1,10
19,9,2,2,8
19,5,1,3,6
19,15,7,4,5
19,1,1,5,4
19,2,2,6,3
19,17,9,7,2
19,4,4,8,1
19,14,9,9,0
19,18,11,10,0
19,12,4,11,0
19,21,10,12,0
19,22,11,13,0
19,3,3,14,0
19,19,8,15,0
19,11,8,16,0
19,6,3,17,0
19,20,5,\N,0
19,13,6,\N,0
19,16,10,\N,0
19,10,7,\N,0
19,7,5,\N,0
20,13,6,1,10
20,8,6,2,8
20,9,2,3,6
20,2,2,4,5
20,5,1,5,4
20,15,7,6,3
20,17,9,7,2
20,3,3,8,1
20,10,7,9,0
20,4,4,10,0
20,22,11,11,0
20,21,10,12,0
20,1,1,13,0
20,6,3,14,0
20,7,5,15,0
20,19,8,16,0
20,11,8,17,0
20,14,9,18,0
20,16,10,19,0
20,12,4,\N,0
20,18,11,\N,0
20,20,5,\N,0
21,8,6,1,10
21,13,6,2,8
21,1,1,3,6
21,9,2,4,5
21,17,9,5,4
21,18,11,6,3
21,6,3,7,2
21,15,7,8,1
21,2,2,9,0
21,21,10,10,0
21,10,7,11,0
21,14,9,12,0
21,11,8,13,0
21,3,3,\N,0
21,4,4,\N,0
21,22,11,\N,0
21,5,1,\N,0
21,19,8,\N,0
21,7,5,\N,0
21,12,4,\N,0
21,16,10,\N,0
21,20,5,\N,0
22,13,6,1,10
22,1,1,2,8
22,8,6,3,6
22,9,2,4,5
22,2,2,5,4
22,4,4,6,3
22,17,9,7,2
22,3,3,8,1
22,14,9,9,0
22,15,7,10,0
22,18,11,11,0
22,5,1,12,0
22,10,7,13,0
22,22,11,14,0
22,12,4,15,0
22,16,10,16,0
22,20,5,17,0
22,7,5,\N,0
22,6,3,\N,0
22,21,10,\N,0
23,1,1,1,10
23,9,2,2,8
23,13,6,3,6
23,17,9,4,5
23,20,5,5,4
23,22,11,6,3
23,6,3,7,2
23,5,1,8,1
23,8,6,9,0
23,4,4,10,0
23,18,11,11,0
23,10,7,12,0
23,15,7,13,0
23,2,2,14,0
23,16,10,\N,0
23,3,3,\N,0
23,12,4,\N,0
23,21,10,\N,0
23,14,9,\N,0
23,7,5,\N,0
24,9,2,1,10
24,2,2,2,8
24,14,9,3,6
24,10,7,4,5
24,13,6,5,4
24,15,7,6,3
24,22,11,7,2
24,20,5,8,1
24,5,1,9,0
24,3,3,10,0
24,18,11,11,0
24,17,9,12,0
24,7,5,13,0
24,21,10,\N,0
24,6,3,\N,0
24,4,4,\N,0
24,12,4,\N,0
24,8,6,\N,0
24,1,1,\N,0
24,16,10,\N,0
25,13,6,1,10
25,8,6,2,8
25,15,7,3,6
25,5,1,4,5
25,9,2,5,4
25,17,9,6,3
25,12,4,7,2
25,4,4,8,1
25,14,9,9,0
25,1,1,10,0
25,10,7,11,0
25,20,5,12,0
25,2,2,13,0
25,22,11,14,0
25,6,3,15,0
25,3,3,16,0
25,7,5,17,0
25,21,10,18,0
25,16,10,19,0
25,18,11,\N,0
26,1,1,1,10
26,2,2,2,8
26,22,11,3,6
26,8,6,4,5
26,5,1,5,4
26,4,4,6,3
26,15,7,7,2
26,6,3,8,1
26,3,3,9,0
26,17,9,10,0
26,7,5,11,0
26,10,7,12,0
26,13,6,13,0
26,9,2,\N,0
26,18,11,\N,0
26,12,4,\N,0
26,21,10,\N,0
26,16,10,\N,0
26,20,5,\N,0
26,14,9,\N,0
27,1,1,1,10
27,12,4,2,8
27,13,6,3,6
27,2,2,4,5
27,5,1,5,4
27,8,6,6,3
27,9,2,7,2
27,20,5,8,1
27,15,7,9,0
27,3,3,10,0
27,4,4,11,0
27,7,5,12,0
27,14,9,13,0
27,6,3,14,0
27,16,10,15,0
27,21,10,16,0
27,18,11,17,0
27,22,11,\N,0
27,17,9,\N,0
27,10,7,\N,0
28,5,1,1,10
28,10,7,2,8
28,8,6,3,6
28,4,4,4,5
28,1,1,5,4
28,12,4,6,3
28,15,7,7,2
28,9,2,8,1
28,17,9,9,0
28,2,2,10,0
28,14,9,11,0
28,18,11,12,0
28,6,3,13,0
28,3,3,14,0
28,21,10,15,0
28,22,11,16,0
28,13,6,17,0
28,7,5,18,0
28,16,10,\N,0
28,20,5,\N,0
29,13,6,1,10
29,1,1,2,8
29,9,2,3,6
29,5,1,4,5
29,15,7,5,4
29,20,5,6,3
29,10,7,7,2
29,3,3,8,1
29,2,2,9,0
29,7,5,10,0
29,12,4,11,0
29,17,9,12,0
29,18,11,13,0
29,21,10,14,0
29,6,3,15,0
29,22,11,16,0
29,14,9,17,0
29,8,6,\N,0
29,16,10,\N,0
29,4,4,\N,0
30,13,6,1,10
30,2,2,2,8
30,1,1,3,6
30,4,4,4,5
30,20,5,5,4
30,9,2,6,3
30,7,5,7,2
30,17,9,8,1
30,10,7,9,0
30,5,1,10,0
30,14,9,11,0
30,3,3,12,0
30,16,10,13,0
30,6,3,14,0
30,18,11,15,0
30,15,7,16,0
30,21,10,17,0
30,8,6,18,0
30,22,11,\N,0
30,12,4,\N,0
31,20,5,1,10
31,5,1,2,8
31,9,2,3,6
31,4,4,4,5
31,2,2,5,4
31,13,6,6,3
31,1,1,7,2
31,17,9,8,1
31,8,6,9,0
31,12,4,10,0
31,10,7,11,0
31,6,3,12,0
31,15,7,13,0
31,3,3,14,0
31,18,11,15,0
31,14,9,16,0
31,22,11,17,0
31,7,5,18,0
31,16,10,19,0
31,21,10,\N,0
32,4,4,1,10
32,3,3,2,8
32,1,1,3,6
32,10,7,4,5
32,20,5,5,4
32,2,2,6,3
32,14,9,7,2
32,6,3,8,1
32,18,11,9,0
32,5,1,10,0
32,9,2,11,0
32,7,5,12,0
32,13,6,13,0
32,21,10,14,0
32,8,6,15,0
32,15,7,\N,0
32,16,10,\N,0
32,17,9,\N,0
32,22,11,\N,0
32,12,4,\N,0
33,4,4,1,10
33,9,2,2,8
33,8,6,3,6
33,12,4,4,5
33,15,7,5,4
33,20,5,6,3
33,13,6,7,2
33,17,9,8,1
33,2,2,9,0
33,7,5,10,0
33,3,3,11,0
33,1,1,12,0
33,22,11,13,0
33,18,11,14,0
33,6,3,15,0
33,21,10,\N,0
33,5,1,\N,0
33,16,10,\N,0
33,10,7,\N,0
33,14,9,\N,0
34,1,1,1,10
34,13,6,2,8
34,8,6,3,6
34,4,4,4,5
34,2,2,5,4
34,9,2,6,3
34,10,7,7,2
34,12,4,8,1
34,20,5,9,0
34,14,9,10,0
34,22,11,11,0
34,6,3,12,0
34,7,5,13,0
34,17,9,14,0
34,3,3,15,0
34,18,11,16,0
34,21,10,17,0
34,5,1,\N,0
34,16,10,\N,0
34,15,7,\N,0
35,13,6,1,10
35,4,4,2,8
35,8,6,3,6
35,20,5,4,5
35,1,1,5,4
35,10,7,6,3
35,5,1,7,2
35,15,7,8,1
35,17,9,9,0
35,2,2,10,0
35,9,2,11,0
35,3,3,12,0
35,18,11,13,0
35,7,5,14,0
35,22,11,15,0
35,16,10,16,0
35,6,3,17,0
35,21,10,18,0
35,12,4,\N,0
35,14,9,\N,0
36,8,6,1,10
36,4,1,2,8
36,1,1,3,6
36,2,2,4,5
